Geohash,vec
9q5br,-0.02546516505530777 -0.13079037539951058 0.25609516447261277 -0.07215688248692084 0.07328194998716961 0.1248814511644009 -0.04098901255762258 0.47655165279813927 -0.4100218255702604 -0.03494864493590632 0.40226567939631314 0.0789742160198696 0.07326274349109742 -0.10627502635113593 0.3621661505915413 -0.35704591137035174 0.1353150854922477 0.02763248364727367 -0.18958832046797652 0.1837549144615122 0.408497265395223 0.16756703004176943 0.2858703549030101 0.21860790188712337 0.30028061933887185 0.045088981637312106 -0.12623074647369584 -0.30091711530446424 0.14723116425509442 -0.05125166297421165 -0.2949752836527802 0.32592541748177234 0.114412709146202 0.1585920920008449 -0.17143935968117538 0.12024118754480881 0.10394742352002653 0.0825039898922537 0.1029312795841554 0.35489766472794654 -0.26659589402351924 -0.5504523506395153 0.06928558230968336 -0.10474071208144894 0.22869798489478088 -0.039193518544601215 0.2131445732299018 -0.5153079127222684 0.09924694271186407 -0.136405055675224 0.1433074682038071 -0.20290019828843792 -0.10521145291334566 0.7615714963787481 -0.11531096618786715 -1.895591503867842 -0.2259119433769685 -0.13074766419624373 1.4064673947177577 0.3872930745775339 -0.46794491076952816 0.4951244806271582 -0.02623089660075985 0.05113349296289187 0.06734927199414911 0.01956226174447356 0.0725288627236442 -0.15339608527530485 0.12785838507808214 -0.013709067943478533 -0.274743704358302 -0.07538520921300343 0.004637934405379255 -0.24078482693087458 0.27371952657340903 0.03179532641013231 0.12817633968738892 0.11508389094061167 -0.41032073019591003 -0.14224740828993512 0.4185037732313309 0.030582842616412902 -0.41841830363292387 0.21303468401373057 -0.867104408529593 -0.0968073024864597 0.039242645407677 -0.10345244293444308 -0.006628304656583954 -0.05833869612332712 -0.12416794754236597 0.1267292510698962 -0.35166666801519597 0.1230757547818953 -0.524041186512849 0.15285084867321896 -0.044946591888134414 0.0024628607825385677 0.7147895839954139 -0.08644312484864189
9q5bs,0.021669660417821347 -0.17867145416548733 0.32721293838322185 0.017428758728606164 0.06542530069516735 0.08045173480990184 -0.02114675903062648 0.4428156786402023 -0.3596445236422399 0.027465339472616753 0.43186481819697353 0.0568813223094148 0.028668427533893624 -0.0791636028435007 0.3724727412281684 -0.36656322090404425 0.0825909724871896 0.022710787608111755 -0.19640338278834144 0.14720070567091184 0.44388465667044247 0.08753877358736083 0.2845897746117139 0.16025653787046137 0.3584772007024376 -0.01620528107493774 -0.05976089047373505 -0.214309120046527 0.14504510119458874 -0.04349173242252135 -0.27184330847457155 0.30035386645188755 0.026782760410991185 0.1726504168831747 -0.1814948208436721 0.1554379275005882 0.14838690507929875 0.0401239379563545 0.0565226255058997 0.3747786282268336 -0.2597317495713259 -0.46958518624305334 0.018527967644699078 -0.09273709661590525 0.21014580428743992 -0.028829102818866702 0.20838871748170018 -0.5147447825166236 0.07658758888508259 -0.10914356166034012 0.1138586997802246 -0.12302052329840216 -0.139659376050291 0.7511430153379698 -0.1647800589476335 -1.7338975279097129 -0.16227000464647492 -0.13021157900350236 1.2511341255538917 0.36069436427190454 -0.40128388209648846 0.3944857733750056 -0.03618189322427825 0.1268502300874134 0.028247902262374648 0.08173298243730487 0.017605251633152293 -0.1139440666712613 0.21274027028041687 -0.03145514288509615 -0.25204804249744556 -0.1497453112833522 0.03630861986507403 -0.18496737096005686 0.3103441414257502 0.03235972872509427 0.14173275169394467 0.06338220365483611 -0.3174717470078581 -0.17771965735532771 0.4080662566410331 0.08181664356201404 -0.35785301606855513 0.15911787428074695 -0.7972852280707505 -0.04526761069543975 -0.0025632081717890972 -0.12617337047337732 0.012061916710265927 -0.07785311929234603 -0.17415586483421192 0.17292040468900874 -0.39726980195420797 0.141833419170788 -0.5017686852042472 0.08806441884984986 -0.027355121879980078 -0.0028335030739901133 0.6537937025922894 -0.07122502782455926
9qh08,0.03379292343683736 -0.1886218542507049 0.35754733466009464 -0.016160518105213264 0.07192912796502254 0.0507221101203231 -0.06604905452126032 0.43766418990938466 -0.40989049968115654 0.057100398763171814 0.40896896026661106 0.06117430310238189 -0.015461022242364389 -0.027174628994195756 0.3583129260514361 -0.3554426302091996 0.03933807908842794 -0.0024242190043024846 -0.13404365013097405 0.17907625349677067 0.42389488381629603 0.11958330701168182 0.30755165195679135 0.19022142060313812 0.37674255145386415 -0.022404992143827403 -0.07226061967524144 -0.193634139043156 0.12574857577776677 -0.017304023567241818 -0.21661158986082502 0.2964677119328675 -0.06827425192415632 0.10427385766085111 -0.20889524115709895 0.14829233893924854 0.2517092496193361 0.09709938460581366 0.03198049716059835 0.40241144779861987 -0.29336236074889754 -0.4392734022538076 0.02560076928891088 -0.0486773025609476 0.1672628807928201 -0.018892090574669885 0.19971162486251476 -0.59846070035196 0.09376245502951462 -0.21952017574269525 0.10927917765209436 -0.20422191408758955 -0.09016426002086071 0.851114176838508 -0.1419650465682569 -1.7795716563189004 -0.12924228382884054 -0.1742803865787302 1.2847767355163526 0.39360733752783267 -0.3628243719673513 0.42085365609848224 -0.06234061041948468 0.21018050995587637 0.0830954542307286 0.08832493265445913 0.05093297930050685 -0.1290657707579047 0.2209434941715925 -0.06131294130364952 -0.2685613703942056 -0.17813723004597126 0.06257241362131136 -0.11787339598584962 0.3427106511846582 0.04770256069025226 0.1218118827616031 0.05336972905306708 -0.3689465869538583 -0.18131357096098458 0.4961468269699701 0.089846251991051 -0.37225235462898004 0.12732250546174365 -0.8324743060432447 -0.09121095384123996 0.04850335460258772 -0.1403437348109475 -0.0636186476010322 -0.0735769391175468 -0.14747924460294096 0.18655589357249147 -0.41555673083470396 0.10767492951339637 -0.49988882461457035 0.07294679781951914 0.06823913460087098 -0.015674159681080244 0.6290508131165317 -0.060857380441755156
9q5bw,-0.034728413701545474 -0.13898935476808408 0.3128234608502227 -0.004527497976664091 0.054167707985335746 0.04659479011978544 -0.08316277654327134 0.49174336867373575 -0.3667935280695984 0.021949682183482064 0.40931418334638303 0.08378587444412773 0.06593358687386114 -0.032560547359279816 0.37494699910875495 -0.3660709160149724 0.07251080416626854 -0.04244229252985467 -0.18680335651075722 0.1383517224130262 0.4584122682671597 0.1475480776555796 0.3149504400417312 0.16562868998390173 0.37525298656805084 0.04593354364318931 -0.14751068756250493 -0.2684668936574608 0.12221654711641232 -0.05578894552429778 -0.22799608332553686 0.26718916537950577 0.028108188580085368 0.10321218864652804 -0.14876232173031448 0.14581607836775998 0.20090281646534144 0.08163157502891571 0.05535858756466737 0.3634361526612387 -0.3251639250096648 -0.4935661894862996 0.05071826066311471 -0.0785978962740668 0.17069277613593273 -0.017942443104565976 0.22113001083825243 -0.5187745738628063 0.10728554589464771 -0.21130645834089062 0.10620852154081739 -0.18259357854869068 -0.05792247200695227 0.8484644741995948 -0.1268609849484619 -1.8784581202059034 -0.10559817135928591 -0.13507167983743135 1.3875215096498055 0.3953827241786395 -0.37271435730967334 0.46281977602049545 -0.040148143593085196 0.17076645378553276 0.11287552852038463 0.06701301926470465 0.07181184766333047 -0.12657133720343675 0.21123664973778433 -0.11389950924413653 -0.28637232604564244 -0.151208293661717 0.06816402634959694 -0.17944597409912838 0.29634995769333283 0.03878826132843222 0.1335661824454148 0.11364601642544282 -0.36412344466170066 -0.18698157097928583 0.4761829059188723 0.038220007944087316 -0.32073110909977753 0.16577819220068918 -0.8633072680456335 -0.08470827600085966 0.010012175417398787 -0.14698567606606489 -0.012304985087071839 -0.06738512528785527 -0.16765072524137173 0.19841534486898987 -0.3506223477557953 0.10582918557419922 -0.47710643407397046 0.10236513744297183 0.007893187779343051 -0.008274882799705223 0.7008625473804219 -0.02021659889660535
9q5bd,0.020035378446234205 -0.1925539285441225 0.38331803548137333 0.022534981556663433 0.10521684505068464 0.13192275280320437 -0.05040568048698016 0.5142321818543313 -0.5072282929129259 0.0880167783280923 0.4242062499895761 0.020266428509844732 -0.1085426649327395 -0.10157678333654906 0.29132741650282534 -0.32609699127459396 0.096689650542205 0.057653586068295265 -0.10256352886795257 0.13086855786933932 0.4898351364542558 0.21112858292258652 0.31148668531870993 0.1800807890537072 0.33753537021801094 -0.008834424816290244 -0.12084487718460594 -0.28750441397372717 0.04273036651891378 -0.04319220005525879 -0.25643278092676264 0.26429064803717794 -0.026328574018776252 0.18315599676317795 -0.07031303487440402 0.0937468011464547 0.19277040713144053 0.06590822920073515 0.06648864025287081 0.3094299586723504 -0.34014209623666797 -0.3980861820825886 -0.03579889368652007 -0.08432276047691563 0.23439297838987064 0.018551132199582272 0.2773393028097016 -0.5150362118915052 0.09526170820622264 -0.06068470179273615 0.059217303179608285 -0.2299836434653374 -0.10646763366490045 0.6613103268198679 -0.15014932298049147 -1.6155477901350528 -0.10516077481118967 -0.08894554605905787 1.1682366424091657 0.36539626880576936 -0.3845322633726625 0.44071337787352877 0.022862079812633693 0.13117703744710504 -0.03717978090433672 0.04265878961081409 0.06273682679080524 -0.1882047415828934 0.19480353998962985 -0.06604721700669487 -0.28556151698620275 -0.06447835232354347 0.03234214032501226 -0.1947672500501601 0.3106454608503902 0.06762194519206613 0.19088111118892448 0.0563441309365959 -0.22218894182661475 -0.15598093584794256 0.3474349127345933 0.02017422274582851 -0.31844737408019647 0.15625481228807375 -0.6839712490912749 -0.05095111599839383 -0.008842920085079906 -0.1734820689786254 0.026148792497576217 -0.10441560354147712 -0.20373544724312842 0.23720416003849007 -0.3045866191935908 0.09390784927968018 -0.4640736101880737 0.12497523994679087 0.04905609430320849 0.00702608163384283 0.6513214416277465 0.004579936533951738
9q5be,0.04049831726379793 -0.19178515411598587 0.3825740724870769 -0.030279509979836684 0.09427388632899085 0.13186616928682732 0.022498176608265093 0.4572251146623486 -0.47217246495898496 0.08253647817519316 0.43107834273608464 0.02803833676526917 -0.0805476736268595 -0.08364775892409265 0.3215177585335713 -0.34627189491458016 0.05962524036881364 0.08612744248302959 -0.15796585954216458 0.1428340479675598 0.4587816381697793 0.18885287364187012 0.2759773871674552 0.1867517568452764 0.3670707356949086 -0.03964625521427193 -0.06940573390733383 -0.2380057738432847 0.08845243055832924 -0.041082156805860005 -0.29487415744575945 0.29522419319291765 -0.05431890100994953 0.17940564796094186 -0.12453036176140857 0.13180551447368793 0.17218009870809836 0.0661085810899001 0.059426736489161816 0.38365407689921394 -0.2686348241521808 -0.4379706774128134 0.03668819127798304 -0.07579273437398248 0.2282377535340092 -0.024591645806166622 0.29567037465635365 -0.5519207371751432 0.06226392523767767 -0.12697152098655085 0.12120662594646295 -0.1742015403567023 -0.11628585608895006 0.7063069909793679 -0.14813066854787835 -1.7149394500057933 -0.1454508182003068 -0.09626630131673806 1.240778360423685 0.37731437239512405 -0.3866789625257082 0.3936153049285233 0.0073259938409471325 0.15121474931329607 -0.02380549209819357 0.07052973539726881 0.02333353953750983 -0.1259629677553503 0.23271246745102359 -0.015940406400005578 -0.24323577805033733 -0.1064884385509437 0.006291418625532229 -0.18294813539045812 0.3143504576817834 0.10817762621657936 0.15294489998528768 0.010439190026013706 -0.28414765577781753 -0.14645541204255547 0.44208939840482125 0.07387552401621228 -0.41959062878139874 0.18650018040050864 -0.7628497326846013 -0.04913842254988064 0.00040314504082572723 -0.13672547489840173 0.009657582669973803 -0.06870259397391941 -0.1821644171141791 0.215881316883163 -0.3659402230430428 0.09684374153339276 -0.526174222672634 0.12904844310367716 0.029835814304293454 -0.030792194855885247 0.6047485103035845 -0.03506177592401088
9q5bt,0.020067238144335614 -0.1959769566047676 0.3327894156164989 0.02459342922881026 0.06420262827415932 0.0687364333230264 -0.026457076083780364 0.4424135250424631 -0.4117512637899814 0.12332325356675215 0.4162883470714187 0.018441981349746606 -0.00681445602929721 -0.04392882608058342 0.36655369498892365 -0.3790225826685532 0.021029521400274018 0.022433709112150334 -0.13850442479144065 0.1504755015643184 0.4096360655490529 0.1139333746466687 0.3567720846810525 0.17851037748215373 0.37472685136450046 -0.04810630725032157 -0.0705340262845927 -0.21547639860418405 0.1232341075175332 0.005029451551311321 -0.1919759561711598 0.24514964779928702 -0.027738371107441324 0.15741875724421248 -0.2026848181115537 0.17763281380491544 0.16629640607723492 0.10566217382688102 0.06420903652152089 0.37659326975928936 -0.3022209004149741 -0.40611567728558934 -0.010389244849105412 -0.11638533855986852 0.15601008224097435 0.012020432172557261 0.23037785886451553 -0.5621458723434231 0.12048864398348312 -0.15578075398105254 0.11531314351763465 -0.17259933238403127 -0.10619163515747257 0.7828112661972653 -0.18506633338387848 -1.7770027844704 -0.12160238191798185 -0.14139737910637495 1.2492799730602324 0.3662197060148264 -0.3641604919547037 0.3584248915969922 -0.09516727444364322 0.23121806527461938 0.047179528704084046 0.0859484542822236 0.0299908291832451 -0.11265329607750409 0.2814894382672358 -0.05801565165992328 -0.2497003442414185 -0.16613660217874163 0.046053288800837845 -0.15639455991081364 0.3365055503125238 0.05701939633670546 0.15932374416031744 0.03532076001844727 -0.362086539148595 -0.16781464836619367 0.44573946278920507 0.10373098273940909 -0.35108206627270877 0.1533276951687314 -0.8236739559350548 -0.07411881230385535 0.04217417291383061 -0.20457611991295324 0.030661928548650564 -0.06101878137827059 -0.1579846597971691 0.19123809020692578 -0.4063932639455956 0.1294809839514978 -0.5125312137136779 0.06255105513016426 0.053261194270275626 -0.004151913908720649 0.5798580222625577 -0.08353637645389209
9q5bx,0.011742830308336092 -0.16981618092600165 0.3418881901088117 0.005033530940383594 0.057196440527574936 0.054901631706344926 -0.08628763903280144 0.4608495629536426 -0.42880731905889624 0.06745850708408671 0.3971520142263114 0.054899320935368014 0.006683326260944212 -0.03077975660877441 0.35109186256528185 -0.3604411833365785 0.05641736089429777 -0.0242491690107521 -0.1549983229023954 0.1265461061408812 0.4331110721469521 0.16751875247175776 0.3095802706648199 0.18641381266769003 0.3631270014690987 0.018093614870131284 -0.10639070484128307 -0.23720836605735024 0.10100036718167327 -0.028336747389022848 -0.2125060360031243 0.2737876317857768 -0.014321653348185262 0.11646784007512229 -0.1826783781510352 0.14235257696806794 0.24759671342214565 0.07750355429091187 0.04614322456809611 0.3745160085232854 -0.309000620417503 -0.44967419522618157 0.028456880922855893 -0.07715264239955685 0.17376290189354884 -0.03839042496012562 0.24799801132612476 -0.5370605762265493 0.09938917657546983 -0.19715396886869627 0.10172297601299768 -0.21860451221661642 -0.08108607260435335 0.8167956151859896 -0.13479466788473682 -1.7993210327234421 -0.0892736713865946 -0.15589294096009043 1.3128784613801447 0.3867555582785172 -0.3678200968016194 0.43829932312543385 -0.04758051235025971 0.17031664665373103 0.08566814215973956 0.08603643234146245 0.06308030672527734 -0.16049197703408105 0.2356473277255138 -0.08657879710967198 -0.2802010830408154 -0.15496833318348313 0.05421016694957789 -0.11972729882415384 0.32238774861608616 0.05396243959182549 0.13704599783167082 0.088120499862407 -0.33926291184921825 -0.17977615246254566 0.47584842979019915 0.05221817982471513 -0.3260708108315143 0.17464349779075802 -0.8328705659242476 -0.08141944714053406 0.023820876924787026 -0.1622231929780994 -0.028206018858863872 -0.05980585940140417 -0.15720116466824355 0.19437735932495614 -0.3652373605630961 0.06903939500493703 -0.4930693517529227 0.09499117223394853 0.05240203584962381 -0.012975273594568166 0.6453003022182037 -0.023085212261320025
9q5bf,0.03696986924148591 -0.18506515329313566 0.30875496501764815 -0.046833079866054665 0.07329311209913861 0.14147850604172196 -0.012434698781311974 0.4574030637270596 -0.43029356552769477 0.03322018525998794 0.419113621515812 0.0013093539097529577 -0.01907563805417309 -0.19274103084516947 0.3581498134431481 -0.3761773037089253 0.09868201166289194 0.0869797764586152 -0.20672896106068533 0.19227147194557268 0.4293811241243535 0.13360408184598768 0.2699732673244925 0.2439033584866423 0.2880812363615143 -0.0191599922705816 -0.08470241694992595 -0.29432302787030196 0.12116579428886039 -0.07620300201744094 -0.3124842358038554 0.29433143831880465 0.06046794954307643 0.18757705238607927 -0.19309673862870785 0.11159051346104475 0.11078909090230907 0.10205133754070023 0.07520389655193808 0.36022775355480097 -0.25482616248577333 -0.4942635147259346 0.046396023898777096 -0.13343515080183396 0.23229644641128996 -0.02262383669856187 0.21894537551661683 -0.5832475140894856 0.07267947130633226 -0.10937966583102757 0.12753608043405662 -0.20642066204953702 -0.1807889246435048 0.700943051896037 -0.12895092902033678 -1.7735445921087538 -0.23788617381441793 -0.12223558503453141 1.3586641108836615 0.403413630938405 -0.46651848965232684 0.4578002816014625 -0.055849976936104107 0.024595248207019197 0.0027092667273098617 0.02229468283023018 0.0386076628194639 -0.16405579585520955 0.18471079902730717 0.04841601624523397 -0.21518179734506684 -0.061256906363431014 -0.011161440297231293 -0.2472293860640006 0.28718322115751227 0.07491588464222829 0.17600455276163882 0.056043981439807024 -0.4007260793847034 -0.10008099987978826 0.41789621431797636 0.042166721396273546 -0.4640668064349195 0.21034197659847212 -0.8455864609569947 -0.0944780115600759 0.04602819462092132 -0.07333254943667179 -0.011416522315930645 -0.08072265657461501 -0.15320509199585233 0.08967761672587322 -0.3681747325836123 0.1462672725105113 -0.5240803726624296 0.15971081171254714 -0.045042466634662506 -0.015319524996801382 0.7041406094618452 -0.12563632495734747
9q5bz,0.003879413866425046 -0.1801009222260249 0.3383740813906415 -0.10742041946184563 0.045950902590816106 0.04496599280060587 -0.004258960047112215 0.37547131948064644 -0.48155965411528173 0.0063669207567204076 0.40987037602545184 -0.03456613812920924 0.008679720133225821 -0.01692788752736743 0.34209732559361217 -0.4007741642298883 0.05747717741906327 0.08089701090942156 -0.24277152999503548 0.21568891295964246 0.446017199333064 0.10778641885935715 0.331853031174935 0.12143635434440603 0.4117984982753972 0.009164805577431514 -0.05307891628876929 -0.16800176094697378 0.09902453188925808 -0.012589647003412547 -0.2492697594483727 0.33223455189302714 0.004248886263027403 0.1431079133665407 -0.2279915976169594 0.1837678324139301 0.2281995222725072 0.15443721296634563 0.013355120676845269 0.4344985216236118 -0.31547917579894585 -0.4095949638384054 0.0685040744020009 -0.05310613223529056 0.1589274728683392 -0.04337220488759897 0.17242187540107284 -0.6206601506936799 0.13644416296060694 -0.22626849360105974 0.17905197164954023 -0.20175197706798387 -0.12908948812909926 0.757171031898782 -0.11198666473123553 -1.870214727429928 -0.16714898755139462 -0.11708266730783376 1.269999022505021 0.4310153158934919 -0.3372460423401727 0.43009598064637217 -0.019861268770454056 0.1595609783416353 0.14737528897527638 0.04492482448746442 0.14664428966616563 -0.0036166075497863705 0.22882592570331828 0.045761748589523435 -0.28530525733079987 -0.12788692950587768 0.021056930183282547 -0.15903516657701283 0.35589122860836214 0.026644831915400076 0.1290869316673767 0.014389906784341279 -0.3436296047629782 -0.1736072470290443 0.42008677761908514 0.1479641746774495 -0.3379701239251059 0.07874657436452673 -0.8588260136990241 -0.06998783645170868 0.033711027157831315 -0.1704087381357372 -0.03602818044549546 -0.04822662025629202 -0.16311025881558686 0.14156434839933352 -0.3868977320269877 0.09231913436969684 -0.5219273590993687 0.10920365309042687 0.06532567874359983 0.02487053051061359 0.584027524317175 -0.08280227133001966
